Index,Name,Bio Text,Keru Text,Wilex Text,Luna Text
Sentry,Sentry,"Sentries are frogs with the ability to inflate themselves and fly. They become electrified while airborne, so it is a good idea to attack them from a distance.<line><line>They attack by slinging rocks from above. Attacking them will provoke a paralyzing counter attack. Sentries usually focus their attention on the most vulnerable targets.","These frogs can blow themselves up like balloons to fly in the air, and they become electrified while airborne. They attack by tossing rocks at you with slings, but they will try to aim at whoever has the lowest health.<next>They can also counter attacks made against them with a paralyzing rock, so you should hit them with strong attacks to defeat them quickly.","They always try to hit whoever's weakest, unless they're doing a counter attack. Taking them down is pretty hard since they're electrified when they're blown up, and electric attacks don't even work on them.<next>I'll also have to deal with their paralyzing counter attack if I get them down.","They look so funny when they're all blown up, but they get electrified when they do that. Maybe there's a way I can hit them without getting hurt myself?<next>Hitting them will make them hit back with a paralyzing rock, so I better be careful of that."
Cactupole,Cactupole,"These strange creatures inflate themselves in order to disguise themselves as floating cacti. Cactupoles have electrified skin when they fly, making them dangerous to come into contact with.<line><line>They have a lot of difficulty moving while inflated, so they have to deflate themselves to attack.<line><line>Their main predators are Sandswimmers, who can sense the electric fields they give off.","These tadpoles have hard skin and thorns that give them high defense and makes them look like cacti. They can inflate themselves to fly, and their attacks are more dangerous when they're in the air, since they can paralyze you.<next>However, they have to come down to attack you, so you can try to wait for that time to strike. Their thorns make them dangerous to jump on, so be careful when dealing with them.","A flying cactus... Seems annoying to deal with. At least they'll fall down to the ground when they attack, so I should wait for that to happen.","I thought it was a normal cactus for a moment... Getting hit by their thorns will paralyze us, so we should try to avoid that. When they're flying I can't do too much to them, but they'll come down on their own, so I should wait for that."
Sandswimmer,Sandswimmer,"Sandswimmers are strange mammals that can swim through the sand like water. Their large bills allow them to sense electrical fields, which helps lead them towards potential food sources.<line><line>Their electrified skin makes them shocking to the touch, and also makes them immune to electrical attacks. The bandits in the desert occasionally use tamed Sandswimmers to help chase down their targets.","Sandswimmers are bulky beasts with high health but low attack. Try not to get bitten by them, since their bites can paralyze you. Their electrified skin gives them some defense and makes them immune to electrical attacks themselves.<next>You shouldn't stomp on them, since you'll get shocked on contact.","These big beasts have pretty weak attacks, but they can paralyze us with their bites. They have shocking skin, which gives them a little bit of defense and makes them immune to electricity. Looks like I should use my sword for this one.","They move so fast... I wonder what it's like to ride one? That's probably a bad idea though, since their skin is shocking. They can also paralyze us with their bites, so we should be careful of that."
SpireGuard,Spire Guard,"Spire guards protect the city of Windspire from the bandits using their rapiers, and they serve under Mayor Halberd. They are strong in groups as they can rally each other to make each other stronger.","Spire guards are usually found around Windspire. They fight with rapiers and they can rally each other to boost their attack, so picking them off one at a time can make them weaker.","They can boost each other, so picking them off one at a time is a good idea.","They can boost each other, so we should take care of them one at a time."
EliteGuard,Elite Guard,"Elite guards undergo difficult training that makes them very formidible spear fighters. Relatively few master their techniques so they are usually only seen guarding the most important areas of Windspire, including parts of Halberd's mansion. Elite guards can send waves of water at their opponents and protect them.","The elite guards of Windspire use different kinds of spear moves to fight. They can stab you twice, send water waves at you or protect themselves and others.",They keep waving their spears around at us to fight. If I get rid of them first they can't keep their allies defense up.,They're twirling around their spear like it's nothing! Maybe I should switch to using one? They can boost their allies defense with it so I should take care of them first.
DesertBloom,Desert Bloom,"Desert Blooms are the rarest form of Honeybuds, even rarer than the elusive Miracle Blooms. Unfortunately for those seeking rare honey from them, their flower only produces ordinary Flower Syrup. Their hustling abilities seem to be come from magic they have. Desert Blooms can shift their position to hide behind enemies with more health, or hide low health enemies behind themselves.","This is a Desert Bloom, the rarest form of the Honeybud. Their attacks are very strong, and they can heal their allies for a lot of HP and Hustle them.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less.","Apparently their honey is really good at healing and it makes their allies faster. But it looks like Flower Syrup, so I don't know how that works.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less.","I bet their honey tastes really great. Their honey makes their allies move faster though, so taking care of them first is a good idea.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less."
Goldpole,Goldpole,"A golden version of Brightpoles. Goldpoles are more aggressive but have lower defense and health than Brightpoles. Goldpoles can quickly zap enemies, so fighting them is often a race against the clock. They can Supercharge and Focus themselves on their actual turns.","Goldpoles are faster versions of Brightpoles. They can act after each of your actions. During their real turn, they will Focus and Supercharge themselves.","They get a turn every time we move, so I better get rid of them first. They also charge themselves on their normal turn too so I shouldn't waste any time in dealing with them.","They fly so high and move so fast? Wilex should deal with them, I'm not very good at dealing with flying things and they get a free turn whenever either of us move."
Shockworm,Shockworm,Shockworm bites can arc between their enemies and they can also charge themselves or match the focus of others. They are weak to Fire damage.,"They can bite you do deal Air/Electric damage. That attack will also arc between you, so pay attention to that. They can also charge themselves to give themselves Supercharge and they can also copy the Focus of the other enemies.<next>They are weak to Fire damage.","They're weak to Fire damage, so a Flame Stomp is good for getting rid of them. They can give themselves Focus or copy the Focus of the others so I should get rid of them before they can do that.","Fire damage is their weakness, so I can try a Flame Smash when they're down. They can give themselves Focus or copy the Focus of the others so I should get rid of them before they can do that."
Brightpole,Brightpole,Brightpoles are larger and brighter versions of Cactupoles. They have an attack that blasts targets with light then one with darkness. Brightpoles can also blast their enemies with electricity.,"These large, thorny tadpoles are larger forms of Cactupoles. They can attack with a large Light flash that hits both of you that is followed by a Dark attack that gives themselves Quantum Shield.<next>They can also blast you both with electricity to deal Air/Electric damage.",A big flying cactus... Seems annoying to deal with. They can blast us with light and darkness or they can blast us with electricity.,"It's a big bright thornball, I'll have to throw something at them to get them down. They can blast us with electricity but they can also do Light and Dark attacks."
Stormswimmer,Stormswimmer,"These relatives of Sandswimmers can actually fly in the storms of the Hidden Oasis. They can protect themselves with Mist Wall. Stormswimmers can shift their position to hide behind enemies with more health, or hide low health enemies behind themselves.","Stormswimmers attack with Electric attacks and they can blow water do deal Water damage and cast Mist Wall on themselves.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less.","It can blow water at us to give themselves Mist Wall, so I should get them before they can do that.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less.","They're weak to Light damage, but I'll have to get them down first to get a good hit on them.<next>They can also switch places with other enemies to hide behind ones with more health, or to go in front of ones with less."
DesertMinibossA,Curl,Small guy (stompy guy?) (fought along Sentries),KeruDefault_DesertMinibossA,WilexDefault_DesertMinibossA,LunaDefault_DesertMinibossA
DesertMinibossB,Dart,Bigger guy (uses ranged multihits on different targets?) (fought along with Renegades),KeruDefault_DesertMinibossB,WilexDefault_DesertMinibossB,LunaDefault_DesertMinibossB
DesertMinibossC,Excision,Sword girl (fought along with bandits),KeruDefault_DesertMinibossC,WilexDefault_DesertMinibossC,LunaDefault_DesertMinibossC
DesertBossGuy,Flight,"The leader of the desert bandits. His family once all lived in Windspire, but now his family is split, with half of them following Flight in becoming a part of the bandits.<line><line>Flight plans on using the Storm Cannon to take control of Windspire.",KeruDefault_DesertBossGuy,WilexDefault_DesertBossGuy,LunaDefault_DesertBossGuy
StormCannon,Storm Cannon,"An ancient weapon used to bring the Air Dragon, Electrion out of the sky. It shoots out the electrical energy stored within to attack, and it can draw some energy from the environment.<line><line>However, the energy used to bring down Electrion came from the dragon himself, and so after his death there is now no way for the cannon to reach its maximum potential. Although, the power of the Air Core can still charge the cannon enough to be devastating.",KeruDefault_StormCannon,"It's a big hunk of metal that shoots lightning at us. We're probably better off focusing on taking down Flight, since this thing has a lot of defense and higher health than him.",LunaDefault_StormCannon
Stormtamer,Stormtamer,"Stormhole began as a group of outcasts who were rejected and forced out of the cities in the desert. As they didn't have the favor of Electrion, most of them had to scavenge and steal supplies from traders in the desert in order to survive, giving rise to the Stormhole Bandits. The ultimate robbery of theirs would be to kill Electrion and take his power for themselves. The bandits built a cannon capable of using the great dragon's power against him, and struck him down with ease. Unfortunately, his death would render most of their settlement uninhabitable due to the energy he released, as well as the eternal storms that now perpetually surround Stormhole.",KeruDefault_Stormtamer,WilexDefault_Stormtamer,LunaDefault_Stormtamer
Stormkiller,Stormkiller,"The ancient cannon, now charged with an immense amount of energy. It takes some time to charge up, with the charging being interruptable. However, it can fortify itself, making it very difficult to prevent its ultimate attack from being used. The ultimate attack is unavoidable and impossible to survive, so interrupting its charge is crucial to defeating it.","Whatever you do, you must NOT let the cannon fire. Keep hitting it to reduce its level of charge. Its defense will increase every turn, so you need to defeat the cannon or the Stormtamer as fast as you can.","There's a lot of energy in that thing. Getting hit by it will probably kill us, so I need to stop it from firing by hitting it hard. Electric attacks won't work since it will just absorb them.<next>Still, we're better off trying to take down the guy on top since the cannon has a lot more defense than him.<next>We need to be fast about this fight, since this thing will keep getting more defense every turn, so eventually we won't be able to stop it from firing anymore.","It's bright and sparking, but that's probably a bad thing. I don't think I want this thing to fire on us, so I think we should keep hitting it so it won't attack."
TrainingDummy,Dummy,"An ordinary training dummy. This dummy has been around from the very beginning of the Tournament , and yet it appears almost completely undamaged.","It's a normal training dummy. I don't think you need to worry about breaking it, since the other Tournament fighters probably used it before.","Just a normal training dummy... It can survive anything we throw at it though. We don't need any training though, so we don't need this thing.","Did they have to give it a cute face like that? I feel kinda bad attacking it... Well it doesn't seem to mind, so I think it should be fine."
TrainingDummyBoss,Dummy?,"It seems that the dummy was inhabited by a magical spirit deep within it. The immense power of the spirit kept the dummy from being damaged, but the spirit would lay dormant until someone peered deep inside the dummy to awaken it.<line><line>The existence of this spirit raises an important question: Are there others like it hiding elsewhere in the world?","What!? How did I not see this power before? Okay, it looks like whatever possessed the dummy can't move around, so if you run away, it can't stop you. You need to get out of there, I don't see any way you could win this.","I knew there was something wrong with the face of this thing... It has more HP than anything else we've fought, so this is going to take a while. If we run away, it can't follow us, but I won't back down. We just have to fight like we've never fought before!","How strong is this guy? He has more HP than anyone else we've fought, so we'll have to fight harder than we've ever fought before! It can't catch us if we run away, but who knows what he could do if we left him alone?"
TournamentPawn,Boulder,"Boulder has always lived in the shadow of his older siblings, and so he has always wanted to prove himself stronger than them by carving his own path. However, his time in the tournament has been a long string of losses with only a small handful of victories, keeping him at the bottom of the rankings. His determination hasn't been shaken by this however, and so he is willing to give it his all to finally rise above the bottom and defeat someone.","Boulder's losing streak is impressive, as much as it is sad. You would think that a losing streak like that would humble him, but he is very stubborn and arrogant, unwilling to change his fighting style or improve.","He keeps using the same stomping attack over and over. No wonder he's losing every time. But I guess he has some pretty strong dedication, I probably would have dropped out of the tournament if I lost as much as he has.","Poor guy... Maybe we should let him win this one. No? Well, it doesn't look like he'll do anything other than stomp us, so this should be a simple fight."
TournamentKnight,Lance,"Lance is an eccentric fighter who relies a lot on his agility, being able to dodge a lot of his opponent's attacks, and also being able to attack very suddenly. While he may not be able to survive many hits against himself, a fluke upset against some of the higher ranking fighters has shown that his style isn't something that can be taken lightly.",KeruDefault_TournamentKnight,"It's hard to land a hit on him, so I'll have to pay attention to his stance. He gets a turn every time we move, so we should just keep trying to hit him as hard as we can.","So fast... He keeps zipping around to dodge my attacks. Maybe I can try to catch him off guard by attacking a certain way? He gets to attack every time we move, so we should just try to keep attacking him every turn."
TournamentBishopA,Ruby,"Ruby and Aqua are two of the more recently joined fighters in the tournament, deciding to join to follow in their big sister's footsteps. Ruby is focused on copying her older sister's fighting style by being very aggressive with her attacks.",KeruDefault_TournamentBishopA,WilexDefault_TournamentBishopA,LunaDefault_TournamentBishopA
TournamentBishopB,Aqua,"Ruby and Aqua are two of the more recently joined fighters in the tournament, deciding to join to follow in their big sister's footsteps. Aqua is more reserved than her sisters, and she has a more defensive fighting style as well.",KeruDefault_TournamentBishopB,WilexDefault_TournamentBishopB,LunaDefault_TournamentBishopB
TournamentRook,Stronghold,"Formerly one of Halberd's guards, Stronghold has decided to join the tournament for a change of pace.",KeruDefault_TournamentRook,WilexDefault_TournamentRook,LunaDefault_TournamentRook
TournamentQueenA,Amethyst,"Amethyst was a member of the first 2 person team allowed to compete in the Windspire Tournament. Her aggressive approach complimented her partner's more defensive approach, allowing the two of them to become champions for a short time.",KeruDefault_TournamentQueenA,WilexDefault_TournamentQueenA,LunaDefault_TournamentQueenA
TournamentQueenB,Glaive,"Glaive was a member of the first 2 person team allowed to compete in the Windspire Tournament. Some thought that this was due to corruption, as her brother is the mayor of Windspire. Yet this is likely not the case, as Halberd appears to have little to no interest in the tournament. She and her partner managed to rise all the way to the top, becoming champions for a short time, although they would lose their title shortly after gaining it.",KeruDefault_TournamentQueenB,WilexDefault_TournamentQueenB,LunaDefault_TournamentQueenB
TournamentKing,Crest,"The brother of the first champion, Crest has a fast and versatile attacking style that has led him to victory countless times, even against teams of fighters.",KeruDefault_TournamentKing,WilexDefault_TournamentKing,LunaDefault_TournamentKing
