Index,Name,Description
Hustle,Hustle,"Get <var,1> extra action(s) every turn."
EffectStasis,Effect Stasis,Effects other than this one cannot tick down from 1 to 0.
Immunity,Immunity,Cannot receive most negative effects.
Ethereal,Ethereal,Non-light attacks against this entity will miss.
Illuminate,Illuminate,"Attack is increased by <var,1> (Potency increases by 1 if you attack on your turn, up to <var,6>)"
MistWall,Mist Wall,"Take <var,5>% less damage."
AstralWall,Astral Wall,"Damage per turn taken is capped at <var,1> per turn. (Effect is removed at the start of next turn if damage is capped)"
ParryAura,Parry Aura,"Gain <var,1> Focus when hit."
BolsterAura,Bolster Aura,"Gain <var,1> Absorb at the end of turn when hit."
AstralRecovery,Astral Recovery,"Gain <var,1> HP when hit except when the hit reduces the entity to 0 hp."
Elusive,Elusive,"Get <var,1> turn(s) of Ethereal when hit."
CounterFlare,Counter Flare,Damage taken will be returned to all enemies at the end of turn and healed back at 50% strength. (Effect potency is reduced by 1 if the counter activates)
Supercharge,Supercharge,"Deal <var,5>% more damage. Guaranteed to increase damage by at least <var, 1>."
QuantumShield,Quantum Shield,"Block the next <var,1> hits completely"
Soften,Soften,Damage you take is softened so that the damage happens over the course of 3 turns.
AttackDown,Attack Down,"Attack is decreased by <var,1>"
DefenseDown,Defense Down,"Defense is decreased by <var,1>"
EnduranceDown,Endurance Down,"Endurance is decreased by <var,1>. (Move costs go up by <var,1>)"
AgilityDown,Agility Down,"Agility is decreased by <var,1>"
FlowDown,Flow Down,"Flow is decreased by <var,1>. (Soul energy costs go up by <var,1>)"
HealthLoss,Health Loss,"Lose <var,1> HP every turn."
EnergyLoss,Energy Loss,"Lose <var,1> EP every turn."
SoulLoss,Soul Loss,"Lose <var,1> SE every turn."
Sluggish,Sluggish,"Get Cooldown every turn except for 1 / <var,1> turns"
DrainSprout,Drain Sprout,"When hit, get <var,1> Defocus and the attacker gets <var,3> HP. (Blocking hits can still reduce the Defocus.)"
BoltSprout,Bolt Sprout,"When hit, get <var,1> Sunder at the end of turn and the attacker gets <var,3> EP. (Blocking hits can still reduce the Sunder.)"
Seal,Seal,Cannot receive most positive effects.
Sticky,Sticky,Cannot use Items.
DamageOverTime,Damage Over Time,"Take <var,1> damage per turn."
Focus,Focus,"Attack is increased by <var,1>. (Removed after their action if they attack.)"
Absorb,Absorb,"Defense is increased by <var,1> (When hit, this is removed after the attacker's action.)"
Burst,Burst,"Endurance is increased by <var,1> for their next energy using move. (Move costs go down by <var,1>)"
Haste,Haste,"Agility is increased by <var,1> for their next stamina using move."
BonusTurns,Bonus Action,"Can do <var,1> additional action(s) on their turn."
Awaken,Awaken,"Flow is increased by <var,1> for their next soul energy using move. (Move costs go down by <var,1>)"
Miracle,Miracle,"Negate a lethal hit. (If it activates, they will not be able to receive Miracle again this battle.)"
Freebie,Freebie,"Next <var,1> item(s) will not be removed from your inventory."
ItemBoost,Item Boost,"Next item's effect is boosted by <var,11>%. (Increases effect duration and not potency, includes heal over time effects.)"
Defocus,Defocus,"Attack is decreased by <var,1>. (Removed after their turn if they attack.)"
Sunder,Sunder,"Defense is decreased by <var,1> (When hit, this is removed after the attacker's turn.)"
Enervate,Enervate,"Endurance is decreased by <var,1> for their next energy using move. (Move costs go up by <var,1>)"
Hamper,Hamper,"Agility is decreased by <var,1> for their next stamina using move."
Cooldown,Cooldown,"Lose next <var,1> actions."
Disorient,Disorient,"Flow is decreased by <var,1> for their next soul energy using move. (Move costs go up by <var,1>)"
