File version: 2,HP,EP,SE,Stamina,SellPrice,Effects,Overheal/Pay Effect,OverhealDivisor,Properties,Weird,UseAnim,ItemQuality,IsAttackItem,DamageType,DamageProperties,BaseDamage,Chapter,Recipeorbase
LemonCandy,,14,,,17,Paralyze:1/2|Focus:3/X,,,,FALSE,Eat,Recipe,FALSE,,,,2,TRUE
WarpedCookie,,,,,16,,,,,TRUE,Eat,Recipe,FALSE,,,,2,TRUE
WarpedTea,,,,,15,,,,,TRUE,Drink,Recipe,FALSE,,,,2,TRUE
ThornBundle,,,,,6,,,,NoOverworld,TRUE,None,Recipe,TRUE,Air,,2,2,TRUE
Lemonade,,11,,,10,Paralyze:1/2|Focus:4/X,,,,FALSE,DrinkBad,Recipe,FALSE,,,,2,TRUE
CarrotBunch,12,,,,17,,,,Producer:Carrot,FALSE,Eat,Base,FALSE,,,,3,FALSE
Watermelon,10,20,,,14,Burst:6/X,,,Producer:MelonSlice,FALSE,Eat,Base,FALSE,,,,3,FALSE
MelonSlice,5,10,,,11,Burst:3/X,,,,FALSE,Eat,Base,FALSE,,,,3,FALSE
Coconut,,,,,14,,,,NoOverworld,FALSE,None,Base,TRUE,,,6,3,FALSE
SleepDart,,,,,7,Sleep:1/3,,,NoOverworld,FALSE,None,Base,TRUE,Water,,4,3,FALSE
BerryCarrotBunch,8,8,,,23,,,,Producer:BerryCarrot,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
CarrotPudding,9,9,,,19,,,,HealOverTime,FALSE,Eat,GridFillRecipe,FALSE,,,,3,TRUE
BronzePudding,18,18,,,24,,,,HealOverTime,FALSE,Eat,GridFillRecipe,FALSE,,,,3,TRUE
CoconutMilk,8,,,,14,DefenseUp:2/3,,,,FALSE,Eat,Base,FALSE,,,,3,FALSE
CoconutCream,9,9,,,14,,,,HealOverTime,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
MelonJug,,26,,,14,Burst:6/X,,,TargetAll,FALSE,Drink,Recipe,FALSE,,,,3,TRUE
MelonJuice,,13,,,11,Burst:4/X,,,,FALSE,Drink,Recipe,FALSE,,,,3,TRUE
CocoPop,7,18,,,21,DefenseUp:2/2,,,,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
HustlePudding,,,,,28,Hustle:1/1,,,TargetAll|NoOverworld,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
MilkCoffee,,,,,28,Absorb:1/X|Hustle:1/1,,,NoOverworld,FALSE,Drink,Recipe,FALSE,,,,3,TRUE
TropicalParfait,25,25,,,27,,,,,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
SleepyTea,40,,,,13,Sleep:1/2,,,,FALSE,Drink,Recipe,FALSE,,,,3,TRUE
Meringue,15,15,,,21,,,,TargetAll|HealOverTime,FALSE,Eat,Recipe,FALSE,,,,3,TRUE
SlimeBomb,,,,,20,,,,NoOverworld|TargetAll,FALSE,None,Recipe,TRUE,Water,,5,3,TRUE
SilverCarrot,30,,,,25,,,,,FALSE,Eat,Base,FALSE,,,,4,FALSE
ScaleSteak,14,,,,21,AttackUp:3/2,,,,FALSE,Eat,Base,FALSE,,,,4,FALSE
RockEgg,9,,,,14,AttackUp:2/3,,,,FALSE,Eat,Base,FALSE,,,,4,FALSE
BasaltNut,,11,,,11,,,,NoOverworld|Producer:MoltenNut,FALSE,None,Base,FALSE,,,,4,FALSE
MoltenNut,,,,,11,AttackUp:4/2,,,Volatile:RockNut,FALSE,Eat,Base,FALSE,,,,4,FALSE
BombFruit,,,,,11,,,,TargetAll|NoOverworld,FALSE,None,Base,TRUE,Fire,,4,4,FALSE
LavaPepper,,6,,,14,Berserk:1/2|AttackUp:4/2,,,,FALSE,Eat,Base,FALSE,,,,4,FALSE
SpicyCherry,,30,,,11,Berserk:1/2|Focus:3/X,,,,FALSE,Eat,Base,FALSE,,,,4,FALSE
SilverSalad,45,,,,25,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,4,TRUE
BerrySilver,30,6,,,31,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,4,TRUE
FlowerSilver,30,12,,,37,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,4,TRUE
SilverCake,20,20,,,31,,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,4,TRUE
SilverPudding,36,36,,,38,,,,HealOverTime,FALSE,Eat,GridFillRecipe,FALSE,,,,4,TRUE
MetalSalad,60,,,,35,,,,HealOverTime,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
SpicyNut,,36,,,11,AttackUp:1/3,,,,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
BombJuice,-6,,,,11,AttackUp:5/1,,,MinusHPIsDamage,FALSE,DrinkBad,Recipe,FALSE,,,,4,TRUE
FriedEgg,17,,,,14,AttackUp:2/4,,,,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
PowerSteak,20,,,,34,AttackUp:3/3,,,,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
DeliciousMeal,30,30,,,29,AttackUp:2/3|DefenseUp:2/3,,,,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
ScaleBurger,35,8,,,27,AttackUp:2/3,,,,FALSE,Eat,Recipe,FALSE,,,,4,TRUE
PepperNeedle,,,,,19,,,,NoOverworld|Stack,FALSE,None,Recipe,TRUE,Fire,,2,4,TRUE
DragonShake,,,,,23,Focus:4/X|Absorb:4/X,,,,FALSE,Drink,Recipe,FALSE,,,,4,TRUE
HoneySyrup,,30,,,27,,,,,FALSE,Drink,Base,FALSE,,,,5,FALSE
BronzeBunch,24,,,,27,,,,Producer:BronzeCarrot,FALSE,Eat,Base,FALSE,,,,5,FALSE
DarkNeedle,,,,,11,Poison:1/3,,,NoOverworld,FALSE,None,Base,TRUE,Dark,,4,5,FALSE
Eggplant,,,,6,11,,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,5,FALSE
DarkMushroom,-5,11,,,17,Poison:1/2,,,,FALSE,Eat,Base,FALSE,,,,5,FALSE
MoonlightBerry,,,,,41,Dizzy:1/1|Ethereal:1/1,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,5,FALSE
MosquitoNeedle,,,,,21,,,,NoOverworld,FALSE,None,Base,TRUE,Dark,HPDrainOneToOne,4,5,FALSE
StrangeBud,,,,,11,,,,,TRUE,EatBad,Base,FALSE,,,,5,FALSE
StickySpore,,,,,0,,,,NoOverworld|Stack,FALSE,None,Base,TRUE,Dark,,2,5,FALSE
FlowerBronzeBunch,24,24,,,39,,,,Producer:FlowerBronze,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
HoneyCandy,,45,,,34,,Burst,3,,FALSE,Eat,GridFillRecipe,FALSE,,,,5,TRUE
HoneyCarrot,6,30,,,33,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,5,TRUE
HoneyBronze,12,30,,,37,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,5,TRUE
HoneySilver,30,30,,,51,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,5,TRUE
HoneyCaramel,,60,,,27,,,,HealOverTime,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
StrangeSalad,,,,,11,,,,TargetAll,TRUE,EatBad,WeirdRecipe,FALSE,,,,5,TRUE
RoastedMushroom,22,22,,,17,,,,,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
StrangeShake,,,,,11,AgilityUp:2/3,,,,FALSE,Drink,Recipe,FALSE,,,,5,TRUE
HoneyApple,,35,,,35,EnduranceUp:2/3,,,,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
DarkBreakfast,20,20,,,31,AttackUp:2/3,,,DoubleOnTurn1,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
MiracleShroom,10,,,,27,,,,Revive|Stack,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
PoisonSkewer,35,35,,,27,Poison:1/3,,,,FALSE,EatBad,Recipe,FALSE,,,,5,TRUE
WeirdTea,,,,,19,,,,,TRUE,Drink,Recipe,FALSE,,,,5,TRUE
MoonCookie,,,,,47,FlowUp:4/3,,,NoOverworld,FALSE,Eat,Recipe,FALSE,,,,5,TRUE
MintIcicle,11,,,,17,Freeze:1/3,,,,FALSE,None,Base,TRUE,Light,,4,6,FALSE
IcePotato,13,,,,17,Freeze:1/2|AttackDown:3/2|DefenseUp:5/2,,,,FALSE,Eat,Base,FALSE,,,,6,FALSE
IcePumpkin,19,7,,,25,Absorb:4/X,,,TargetAll,FALSE,Eat,Base,FALSE,,,,6,FALSE
CrystalLeaf,,,,,17,Absorb:6/X,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,6,FALSE
IceNectar,,30,,,27,Freeze:1/2|DefenseUp:4/2,,,,FALSE,Drink,Base,FALSE,,,,6,FALSE
LivelyPeach,,45,,,21,AttackUp:1/3|DefenseUp:1/3|EnduranceUp:1/3,,,,FALSE,Eat,Base,FALSE,,,,6,FALSE
SnowFluff,,36,,,27,,,,Producer:SnowTuft,FALSE,Eat,Base,FALSE,,,,6,FALSE
SnowTuft,,18,,,14,,,,,FALSE,Eat,Base,FALSE,,,,6,FALSE
FluffCandy,,54,,,34,,SoulEnergy,2,Producer:TuftCandy,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
TuftCandy,,27,,,21,,SoulEnergy,2,,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
FluffCarrot,2,36,,,33,,,,Producer:TuftCarrot,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
FluffBronze,3,36,,,37,,,,Producer:TuftBronze,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
FluffSilver,9,36,,,51,,,,Producer:TuftSilver,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
TuftCarrot,3,18,,,19,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
TuftBronze,7,18,,,24,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
TuftSilver,18,18,,,38,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,6,TRUE
PotatoSalad,30,,,,17,AttackDown:1/3|DefenseUp:4/3,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
NectarCrystal,,50,,,27,Freeze:1/3|DefenseUp:5/2,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
PumpkinPie,20,30,,,31,DefenseUp:3/3,,,TargetAll,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
CandyPumpkin,21,16,,,51,DefenseUp:3/2|EnduranceUp:3/2,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
SpicyFries,22,5,,,30,AttackUp:2/3|DefenseUp:1/3,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
IceCream,48,48,,,30,Freeze:1/2,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
MintSalad,100,,,,33,,,,NoBattle,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
EggplantTea,,,,15,27,,,,NoOverworld,FALSE,DrinkBad,Recipe,FALSE,,,,6,TRUE
SweetSmoothie,,,,,33,Immunity:1/2,,,Cure,FALSE,DrinkBad,Recipe,FALSE,,,,6,TRUE
SnowCone,,20,,,35,DefenseUp:2/3|EnduranceUp:2/3,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
LuxurySteak,23,9,,,50,AttackUp:3/3,,,TargetAll,FALSE,Eat,GoodRecipe,FALSE,,,,6,TRUE
DeluxeDinner,40,40,,,50,AttackUp:2/4|DefenseUp:2/4,,,,FALSE,Eat,GoodRecipe,FALSE,,,,6,TRUE
SnowyMeringue,30,30,,,47,,,,TargetAll|HealOverTime|Producer:Meringue,FALSE,Eat,GoodRecipe,FALSE,,,,6,TRUE
PeachPie,,45,,,16,AttackUp:2/3|DefenseUp:2/3|EnduranceUp:2/3,,,,FALSE,Eat,Recipe,FALSE,,,,6,TRUE
MintSpikes,22,,,,16,Freeze:1/3,,,,TRUE,Eat,Recipe,TRUE,Light,,2,6,TRUE
SwiftCake,10,21,,,57,Hustle:1/1|Focus:3/X,,,TargetAll,FALSE,Eat,SpecialtyRecipe,FALSE,,,,6,TRUE
TwinCarrot,36,,,,27,,,,Producer:HalfCarrot,FALSE,Eat,Base,FALSE,,,,7,FALSE
HalfCarrot,18,,,,14,,,,,FALSE,Eat,Base,FALSE,,,,7,FALSE
GoldenLeaf,-15,,,,14,,Defense,10,,FALSE,Eat,Base,FALSE,,,,7,FALSE
BrightMushroom,,-15,,,14,,Attack,10,,FALSE,Eat,Base,FALSE,,,,7,FALSE
GoldenPineapple,,-15,,,14,,Endurance,10,,FALSE,Eat,Base,FALSE,,,,7,FALSE
DrainSeed,,,,,17,AttackDown:1/3|DrainSprout:1/3,,,NoOverworld,FALSE,None,Base,TRUE,Earth,,4,7,FALSE
BoltSeed,,,,,17,DefenseDown:1/3|BoltSprout:1/3,,,NoOverworld,FALSE,None,Base,TRUE,Air,,4,7,FALSE
GoldBomb,,,,,23,,,,NoOverworld|TargetAll,FALSE,None,Base,TRUE,Fire,,12,7,FALSE
TwinSalad,54,,,,27,,,,Producer:HalfSalad,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
HalfSalad,27,,,,14,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
BerryTwins,36,3,,,34,,,,Producer:BerryHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
FlowerTwins,36,7,,,39,,,,Producer:FlowerHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
HoneyTwins,36,18,,,54,,,,Producer:HoneyHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
FluffTwins,11,22,,,54,,,,Producer:TuftTwins,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
TuftTwins,22,11,,,41,,,,Producer:FluffHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
TwinCake,24,24,,,34,,,,TargetAll|Producer:HalfCake,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
TwinPudding,33,33,,,41,,,,HealOverTime|Producer:HalfPudding,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
BerryHalf,18,2,,,21,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
FlowerHalf,18,3,,,26,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
HoneyHalf,18,9,,,41,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
FluffHalf,5,22,,,41,,,,Producer:TuftHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
TuftHalf,11,11,,,27,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
HalfCake,12,12,,,21,,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
HalfPudding,15,15,,,27,,,,HealOverTime,FALSE,Eat,GridFillRecipe,FALSE,,,,7,TRUE
GoldenTea,,,,,14,,Defense,10,,TRUE,Drink,Recipe,FALSE,,,,7,TRUE
BrightSoup,,,,,14,,Attack,10,,TRUE,Eat,Recipe,FALSE,,,,7,TRUE
PineappleJuice,,,,,14,,Endurance,10,,TRUE,DrinkBad,Recipe,FALSE,,,,7,TRUE
MintSmoothie,,100,,,30,,,,NoBattle,FALSE,Drink,Recipe,FALSE,,,,7,TRUE
MoonlightJelly,,,,,54,Ethereal:1/1,,,,FALSE,Eat,Recipe,FALSE,,,,7,TRUE
GoldRabbitBun,16,19,,,21,ItemBoost:3/X,,,,FALSE,Eat,Recipe,FALSE,,,,7,TRUE
GoldOmelette,25,25,,,27,Focus:3/X,,,DoubleOnTurn1,FALSE,Eat,Recipe,FALSE,,,,7,TRUE
LivelySalad,30,,,,17,AgilityUp:4/3|Absorb:4/X,,,,FALSE,Eat,Recipe,FALSE,,,,7,TRUE
MushroomSoup,,,,,31,,AttackShort,10,,TRUE,Eat,Recipe,FALSE,,,,7,TRUE
ConversionShake,,,,,23,,,,,TRUE,Drink,Recipe,FALSE,,,,7,TRUE
DragonTea,,,,,23,Focus:6/X|Absorb:6/X,,,NoOverworld,FALSE,DrinkBad,Recipe,FALSE,,,,7,TRUE
StrangeMushroom,,20,,,24,Focus:3/X,,,Stack,TRUE,Eat,Recipe,FALSE,,,,7,TRUE
GoldLemonade,,40,,,23,Paralyze:1/2|Focus:6/X,,,,FALSE,DrinkBad,Recipe,FALSE,,,,7,TRUE
BombShake,-12,,,,25,AttackUp:5/2,,,MinusHPIsDamage,FALSE,DrinkBad,Recipe,FALSE,,,,7,TRUE
PineappleCone,,10,,,41,EnduranceUp:3/3,,,,FALSE,Eat,Recipe,FALSE,,,,7,TRUE
DeluxeJuice,,45,,10,31,Burst:6/X|EnduranceUp:2/3,,,,FALSE,DrinkGood,GoodRecipe,FALSE,,,,7,TRUE
MelonBomb,,,,,38,Cooldown:1/X,,,NoOverworld,FALSE,None,WeirdRecipe,TRUE,,,15,7,TRUE
GoldNut,,28,,,23,,,,Producer:GoldBomb,FALSE,None,Base,FALSE,,,,7,TRUE
RabbitCake,25,25,,,30,ItemBoost:3/X,,,TargetAll,FALSE,Eat,SpecialtyRecipe,FALSE,,,,7,TRUE
GoldenCarrot,60,,,,34,,,,,FALSE,Eat,Base,FALSE,,,,8,FALSE
RoyalSyrup,,60,,,47,,,,,FALSE,DrinkGood,Base,FALSE,,,,8,FALSE
SunTomato,20,5,,,31,AttackUp:1/4,,,,FALSE,Eat,Base,FALSE,,,,8,FALSE
SunSeed,36,,,,20,,,,SixHealOverTime,FALSE,Eat,Base,FALSE,,,,8,FALSE
FlashBud,,,,,34,,,,Limited|NoOverworld|TargetAll|Revive,TRUE,Eat,Base,FALSE,,,,8,FALSE
GoldenSalad,90,,,,34,,Absorb,10,,FALSE,EatGood,GridFillRecipe,FALSE,,,,8,TRUE
RoyalCandy,,90,,,54,,Endurance,10,,FALSE,EatGood,GridFillRecipe,FALSE,,,,8,TRUE
BerryGolden,60,6,,,41,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
FlowerGolden,60,12,,,46,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
HoneyGolden,60,30,,,61,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
FluffGolden,18,36,,,61,,,,Producer:TuftGolden,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
TuftGolden,36,18,,,47,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
RoyalGolden,60,60,,,81,,,,,FALSE,EatGood,GridFillRecipe,FALSE,,,,8,TRUE
RoyalCarrot,6,60,,,53,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
GoldenCake,40,40,,,41,,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
GoldenPudding,54,54,,,47,,,,HealOverTime,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
RoyalBronze,12,60,,,57,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
RoyalSilver,30,60,,,72,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
RoyalTwins,36,36,,,74,,,,Producer:RoyalHalf,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
RoyalHalf,18,18,,,61,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,8,TRUE
SunMuffin,64,,,,27,,,,EightHealOverTime,FALSE,Eat,Recipe,FALSE,,,,8,TRUE
SolarSpaghetti,35,15,,,37,AttackUp:2/4,,,,FALSE,Eat,Recipe,FALSE,,,,8,TRUE
RoyalSalad,100,,,,47,,Focus,10,,FALSE,EatGood,Recipe,FALSE,,,,8,TRUE
MoonPop,,60,,,88,Ethereal:1/2|Dizzy:1/2,,,,FALSE,Eat,Recipe,FALSE,,,,8,TRUE
SunSauce,,,,,44,Berserk:1/2|AttackUp:7/1,,,NoOverworld,FALSE,Eat,Recipe,FALSE,,,,8,TRUE
SourSmoothie,,23,,,57,Paralyze:1/2|EnduranceUp:5/2,,,,FALSE,DrinkBad,Recipe,FALSE,,,,8,TRUE
CelestialSoup,,,30,,71,,,,,FALSE,Eat,Recipe,FALSE,,,,8,TRUE
RoyalDinner,50,50,,,53,AttackUp:2/5|DefenseUp:2/5,,,,FALSE,EatGood,Recipe,FALSE,,,,8,TRUE
CelestialMuffin,100,100,,,60,,,,TargetAll|NoBattle,FALSE,Eat,GoodRecipe,FALSE,,,,8,TRUE
PolarCaramel,,60,,,47,EnergyRegen:15/3,AttackDefense,15,,FALSE,EatGood,SpecialtyRecipe,FALSE,,,,8,TRUE
CelestialParfait,30,30,30,,98,Ethereal:1/1,,,TargetAll,FALSE,EatGood,SpecialtyRecipe,FALSE,,,,8,TRUE
SupremeDessert,,100,,,104,Focus:3/X|Absorb:3/X|Hustle:1/1,AttackDefense,20,TargetAll,FALSE,EatGood,SupremeRecipe,FALSE,,,,8,TRUE
SupremeDinner,40,40,40,,127,ItemBoost:3/X|Ethereal:1/1,,,TargetAll,FALSE,EatGood,SupremeRecipe,FALSE,,,,8,TRUE
AetherCarrot,100,,,,67,AttackUp:3/3|DefenseDown:3/3,,,,FALSE,EatBad,Base,FALSE,,,,9,FALSE
CrystalCarrot,100,,,,67,,,,Cure,FALSE,EatGood,Base,FALSE,,,,9,FALSE
MiracleSyrup,,100,,,67,,,,Miracle|Limited,FALSE,DrinkGood,Base,FALSE,,,,9,FALSE
StellarSyrup,,100,,,67,AttackDown:3/3|DefenseUp:3/3,,,,FALSE,Drink,Base,FALSE,,,,9,FALSE
PlagueRoot,,,,,34,,,,NoOverworld,TRUE,None,Base,TRUE,,,,9,FALSE
GoldenApple,100,,,,100,MaxHPBoost:5/X,,,Limited,FALSE,Eat,BaseRare,FALSE,,,,9,FALSE
EmeraldLime,,100,,,100,MaxEPBoost:5/X|Absorb:6/X,,,Limited,FALSE,Eat,BaseRare,FALSE,,,,9,FALSE
AzureRose,,,,,100,AttackBoost:1/X|Focus:6/X,,,Limited|NoOverworld,FALSE,Eat,BaseRare,FALSE,,,,9,FALSE
RubyFruit,,,,,100,EnduranceBoost:1/X,,,Limited|NoOverworld,TRUE,Eat,BaseRare,FALSE,,,,9,FALSE
VoidIcicle,,,,,100,DefenseBoost:1/X,,,Limited|NoOverworld,FALSE,Eat,BaseRare,TRUE,Light|Dark,,5,9,FALSE
DiamondMushroom,,,,15,100,AgilityBoost:1/X,,,Limited,FALSE,Eat,BaseRare,FALSE,,,,9,FALSE
CursedStew,,,,,0,Poison:1/X,,,,TRUE,EatBad,Mistake,FALSE,,,,9,TRUE
AetherSalad,,,,,67,,FocusAttack,15,,TRUE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
