Output,Chapter,ItemQuality,Item1,Item2
CoconutCream,3,Recipe,CoconutMilk,
MelonJug,3,Recipe,Watermelon,
MelonJuice,3,Recipe,MelonSlice,
CocoPop,3,Recipe,Coconut,Flour
HustlePudding,3,Recipe,BitterBean,CoconutCream
MilkCoffee,3,Recipe,BitterBean,CoconutMilk
TropicalParfait,3,Recipe,Watermelon,Coconut
TropicalParfait,3,Recipe,Watermelon,Apple
TropicalParfait,3,Recipe,Watermelon,Lemon
TropicalParfait,3,Recipe,Watermelon,Dragonfruit
TropicalParfait,3,Recipe,Watermelon,ClearStrawberry
TropicalParfait,3,Recipe,MelonSlice,Coconut
TropicalParfait,3,Recipe,MelonSlice,Apple
TropicalParfait,3,Recipe,MelonSlice,Lemon
TropicalParfait,3,Recipe,MelonSlice,Dragonfruit
TropicalParfait,3,Recipe,MelonSlice,ClearStrawberry
TropicalParfait,3,Recipe,Coconut,Apple
TropicalParfait,3,Recipe,Coconut,Lemon
TropicalParfait,3,Recipe,Coconut,Dragonfruit
TropicalParfait,3,Recipe,Coconut,ClearStrawberry
TropicalParfait,3,Recipe,LivelyPeach,Watermelon
TropicalParfait,3,Recipe,LivelyPeach,MelonSlice
TropicalParfait,3,Recipe,LivelyPeach,Coconut
TropicalParfait,3,Recipe,LivelyPeach,Apple
TropicalParfait,3,Recipe,LivelyPeach,Lemon
TropicalParfait,3,Recipe,LivelyPeach,Dragonfruit
TropicalParfait,3,Recipe,LivelyPeach,ClearStrawberry
SleepyTea,3,Recipe,SleepDart,
SleepyTea,3,Recipe,SleepDart,MistWater
Meringue,3,Recipe,CoconutCream,Flour
SlimeBomb,3,Recipe,Coconut,SleepDart
SlimeBomb,3,Recipe,Watermelon,SleepDart
SilverSalad,4,GridFillRecipe,SilverCarrot,
BerrySilver,4,GridFillRecipe,BerrySyrup,SilverCarrot
FlowerSilver,4,GridFillRecipe,FlowerSyrup,SilverCarrot
SilverCake,4,GridFillRecipe,Flour,SilverCarrot
SilverPudding,4,GridFillRecipe,CoconutCream,SilverCarrot
MetalSalad,4,Recipe,BronzeCarrot,SilverCarrot
MetalSalad,4,Recipe,GoldenCarrot,SilverCarrot
MetalSalad,4,Recipe,BronzeCarrot,GoldenCarrot
SpicyNut,4,Recipe,BasaltNut,
SpicyNut,4,Recipe,BasaltNut,LavaPepper
SpicyNut,4,Recipe,BoltSeed,
SpicyNut,4,Recipe,BoltSeed,LavaPepper
BombJuice,4,Recipe,BombFruit,
FriedEgg,4,Recipe,RockEgg,
PowerSteak,4,Recipe,LavaPepper,ScaleSteak
DeliciousMeal,4,Recipe,ScaleSteak,WarpedLeaf
ScaleBurger,4,Recipe,DryBread,ScaleSteak
PepperNeedle,4,Recipe,LavaPepper,StaticThorn
DragonShake,4,Recipe,Dragonfruit,LavaPepper
FlowerBronzeBunch,5,Recipe,BronzeBunch,FlowerSyrup
HoneyCandy,5,GridFillRecipe,SweetBerry,HoneySyrup
HoneyCandy,5,GridFillRecipe,Flour,HoneySyrup
HoneyCandy,5,GridFillRecipe,Flour,IceNectar
HoneyCarrot,5,GridFillRecipe,Carrot,HoneySyrup
HoneyCarrot,5,GridFillRecipe,Carrot,IceNectar
HoneyBronze,5,GridFillRecipe,BronzeCarrot,HoneySyrup
HoneyBronze,5,GridFillRecipe,BronzeCarrot,IceNectar
HoneySilver,5,GridFillRecipe,HoneySyrup,SilverCarrot
HoneySilver,5,GridFillRecipe,IceNectar,SilverCarrot
HoneyCaramel,5,Recipe,HoneySyrup,
StrangeSalad,5,WeirdRecipe,StrangeBud,
StrangeSalad,5,WeirdRecipe,DrainSeed,
RoastedMushroom,5,Recipe,DarkMushroom,
RoastedMushroom,5,Recipe,StickySpore,
StrangeShake,5,Recipe,Eggplant,
HoneyApple,5,Recipe,Apple,HoneySyrup
HoneyApple,5,Recipe,Apple,IceNectar
HoneyApple,5,Recipe,Apple,RoyalSyrup
DarkBreakfast,5,Recipe,DarkMushroom,RockEgg
DarkBreakfast,5,Recipe,DarkMushroom,FriedEgg
MiracleShroom,5,Recipe,DarkMushroom,MiracleDrop
MiracleShroom,5,Recipe,DarkMushroom,MiracleNeedle
PoisonSkewer,5,Recipe,DarkMushroom,DarkNeedle
PoisonSkewer,5,Recipe,DarkMushroom,StaticThorn
PoisonSkewer,5,Recipe,DarkMushroom,SleepDart
PoisonSkewer,5,Recipe,DarkMushroom,MosquitoNeedle
PoisonSkewer,5,Recipe,DarkMushroom,MintIcicle
DarkBreakfast,5,Recipe,StickySpore,RockEgg
DarkBreakfast,5,Recipe,StickySpore,FriedEgg
MiracleShroom,5,Recipe,StickySpore,MiracleDrop
MiracleShroom,5,Recipe,StickySpore,MiracleNeedle
PoisonSkewer,5,Recipe,StickySpore,DarkNeedle
PoisonSkewer,5,Recipe,StickySpore,StaticThorn
PoisonSkewer,5,Recipe,StickySpore,SleepDart
PoisonSkewer,5,Recipe,StickySpore,MosquitoNeedle
PoisonSkewer,5,Recipe,StickySpore,MintIcicle
WeirdTea,5,Recipe,StrangeBud,WarpedLeaf
WeirdTea,5,Recipe,DrainSeed,WarpedLeaf
MoonCookie,5,Recipe,Flour,MoonlightBerry
SnowFluff,6,Base,SnowTuft,
FluffCandy,6,GridFillRecipe,SweetBerry,Flour
FluffCandy,6,GridFillRecipe,SnowFluff,Flour
TuftCandy,6,GridFillRecipe,SweetBerry,Flour
TuftCandy,6,GridFillRecipe,SnowTuft,Flour
FluffCarrot,6,GridFillRecipe,Carrot,SnowFluff
FluffBronze,6,GridFillRecipe,BronzeCarrot,SnowFluff
FluffSilver,6,GridFillRecipe,SilverCarrot,SnowFluff
TuftCarrot,6,GridFillRecipe,Carrot,SnowTuft
TuftBronze,6,GridFillRecipe,BronzeCarrot,SnowTuft
TuftSilver,6,GridFillRecipe,SilverCarrot,SnowTuft
PotatoSalad,6,Recipe,IcePotato,
NectarCrystal,6,Recipe,IceNectar,
PumpkinPie,6,Recipe,Flour,IcePumpkin
CandyPumpkin,6,Recipe,HoneySyrup,IcePumpkin
CandyPumpkin,6,Recipe,IceNectar,IcePumpkin
CandyPumpkin,6,Recipe,RoyalSyrup,IcePumpkin
SpicyFries,6,Recipe,IcePotato,LavaPepper
IceCream,6,Recipe,CoconutCream,MintIcicle
MintSalad,6,Recipe,CrystalLeaf,MintIcicle
MintSalad,6,Recipe,LivelyLeaf,MintIcicle
MintSalad,6,Recipe,GoldenLeaf,MintIcicle
EggplantTea,6,Recipe,CrystalLeaf,Eggplant
EggplantTea,6,Recipe,GoldenLeaf,Eggplant
SweetSmoothie,6,Recipe,NectarCrystal,ClearStrawberry
SweetSmoothie,6,Recipe,NectarCrystal,LivelyPeach
SnowCone,6,Recipe,Apple,NectarCrystal
SnowCone,6,Recipe,Lemon,NectarCrystal
SnowCone,6,Recipe,Dragonfruit,NectarCrystal
SnowCone,6,Recipe,Watermelon,NectarCrystal
SnowCone,6,Recipe,MelonSlice,NectarCrystal
LuxurySteak,6,GoodRecipe,PowerSteak,CrystalLeaf
LuxurySteak,6,GoodRecipe,PowerSteak,GoldenLeaf
DeluxeDinner,6,GoodRecipe,PotatoSalad,PowerSteak
SnowyMeringue,6,GoodRecipe,SnowFluff,Meringue
PeachPie,6,Recipe,LivelyPeach,Flour
MintSpikes,6,Recipe,MintIcicle,
SwiftCake,6,SpecialtyRecipe,IceCream,HustlePudding
TwinSalad,7,GridFillRecipe,TwinCarrot,
HalfSalad,7,GridFillRecipe,HalfCarrot,
BerryTwins,7,GridFillRecipe,BerrySyrup,TwinCarrot
FlowerTwins,7,GridFillRecipe,FlowerSyrup,TwinCarrot
HoneyTwins,7,GridFillRecipe,HoneySyrup,TwinCarrot
HoneyTwins,7,GridFillRecipe,IceNectar,TwinCarrot
FluffTwins,7,GridFillRecipe,SnowFluff,TwinCarrot
TuftTwins,7,GridFillRecipe,SnowTuft,TwinCarrot
TwinCake,7,GridFillRecipe,Flour,TwinCarrot
TwinPudding,7,GridFillRecipe,CoconutCream,TwinCarrot
BerryHalf,7,GridFillRecipe,BerrySyrup,HalfCarrot
FlowerHalf,7,GridFillRecipe,FlowerSyrup,HalfCarrot
HoneyHalf,7,GridFillRecipe,HoneySyrup,HalfCarrot
HoneyHalf,7,GridFillRecipe,IceNectar,HalfCarrot
FluffHalf,7,GridFillRecipe,SnowFluff,HalfCarrot
TuftHalf,7,GridFillRecipe,SnowTuft,HalfCarrot
HalfCake,7,GridFillRecipe,Flour,HalfCarrot
HalfPudding,7,GridFillRecipe,CoconutCream,HalfCarrot
GoldenTea,7,Recipe,GoldenLeaf,
GoldenTea,7,Recipe,GoldenLeaf,MistWater
BrightSoup,7,Recipe,BrightMushroom,
PineappleJuice,7,Recipe,GoldenPineapple,
MintSmoothie,7,Recipe,MintIcicle,GoldenPineapple
MoonlightJelly,7,Recipe,GoldenLeaf,MoonlightBerry
GoldRabbitBun,7,Recipe,DryBread,GoldenLeaf
GoldOmelette,7,Recipe,GoldenLeaf,RockEgg
GoldOmelette,7,Recipe,GoldenLeaf,FriedEgg
LivelySalad,7,Recipe,GoldenLeaf,LivelyLeaf
LivelySalad,7,Recipe,GoldenLeaf,CrystalLeaf
MushroomSoup,7,Recipe,BrightMushroom,DarkMushroom
MushroomSoup,7,Recipe,BrightMushroom,StickySpore
ConversionShake,7,Recipe,GoldenLeaf,WarpedLeaf
DragonTea,7,Recipe,Dragonfruit,GoldenLeaf
StrangeMushroom,7,Recipe,BrightMushroom,StrangeBud
StrangeMushroom,7,Recipe,BrightMushroom,DrainSeed
StrangeMushroom,7,Recipe,BrightMushroom,MoonlightBerry
StrangeMushroom,7,Recipe,BrightMushroom,MoonlightJelly
GoldLemonade,7,Recipe,GoldenLeaf,Lemon
BombShake,7,Recipe,BombJuice,GoldenLeaf
PineappleCone,7,Recipe,GoldenPineapple,NectarCrystal
DeluxeJuice,7,GoodRecipe,GoldenPineapple,JuiceMix
DeluxeJuice,7,GoodRecipe,SunTomato,JuiceMix
DeluxeJuice,7,GoodRecipe,GoldenApple,JuiceMix
DeluxeJuice,7,GoodRecipe,EmeraldLime,JuiceMix
DeluxeJuice,7,GoodRecipe,RubyFruit,JuiceMix
MelonBomb,7,WeirdRecipe,BombShake,Watermelon
GoldNut,7,Recipe,BasaltNut,GoldenLeaf
RabbitCake,7,SpecialtyRecipe,GoldRabbitBun,RabbitBun
GoldenSalad,8,GridFillRecipe,GoldenCarrot,
RoyalCandy,8,GridFillRecipe,SweetBerry,RoyalSyrup
RoyalCandy,8,GridFillRecipe,Flour,RoyalSyrup
BerryGolden,8,GridFillRecipe,BerrySyrup,GoldenCarrot
FlowerGolden,8,GridFillRecipe,FlowerSyrup,GoldenCarrot
HoneyGolden,8,GridFillRecipe,HoneySyrup,GoldenCarrot
HoneyGolden,8,GridFillRecipe,IceNectar,GoldenCarrot
FluffGolden,8,GridFillRecipe,SnowFluff,GoldenCarrot
TuftGolden,8,GridFillRecipe,SnowTuft,GoldenCarrot
RoyalGolden,8,GridFillRecipe,GoldenCarrot,RoyalSyrup
RoyalCarrot,8,GridFillRecipe,Carrot,RoyalSyrup
GoldenCake,8,GridFillRecipe,Flour,GoldenCarrot
GoldenPudding,8,GridFillRecipe,CoconutCream,GoldenCarrot
RoyalBronze,8,GridFillRecipe,BronzeCarrot,RoyalSyrup
RoyalSilver,8,GridFillRecipe,RoyalSyrup,SilverCarrot
RoyalTwins,8,GridFillRecipe,RoyalSyrup,TwinCarrot
RoyalHalf,8,GridFillRecipe,HalfCarrot,RoyalSyrup
SunMuffin,8,Recipe,Flour,SunSeed
SolarSpaghetti,8,Recipe,Flour,SunTomato
RoyalSalad,8,Recipe,GoldenCarrot,GoldenLeaf
MoonPop,8,Recipe,MoonlightBerry,RoyalSyrup
SunSauce,8,Recipe,LavaPepper,SunTomato
SourSmoothie,8,Recipe,Lemon,RoyalSyrup
SourSmoothie,8,Recipe,GoldenPineapple,RoyalSyrup
CelestialSoup,8,Recipe,MoonlightBerry,SunTomato
RoyalDinner,8,Recipe,PotatoSalad,SolarSpaghetti
CelestialMuffin,8,GoodRecipe,MintIcicle,SunMuffin
CelestialMuffin,8,GoodRecipe,MintSmoothie,SunMuffin
PolarCaramel,8,SpecialtyRecipe,RoyalSyrup,
CelestialParfait,8,SpecialtyRecipe,CelestialSoup,TropicalParfait
SupremeDessert,8,SupremeRecipe,SwiftCake,PolarCaramel
SupremeDinner,8,SupremeRecipe,CelestialParfait,RabbitCake
CursedStew,9,Mistake,,
AetherSalad,9,GridFillRecipe,AetherCarrot,
CrystalSalad,9,GridFillRecipe,CrystalCarrot,
CrystalSalad,9,GridFillRecipe,FlashBud,
StellarCandy,9,GridFillRecipe,SweetBerry,StellarSyrup
StellarCandy,9,GridFillRecipe,Flour,StellarSyrup
MiracleCandy,9,GridFillRecipe,SweetBerry,MiracleSyrup
MiracleCandy,9,GridFillRecipe,Flour,MiracleSyrup
StellarAether,9,GridFillRecipe,AetherCarrot,StellarSyrup
MiracleCrystal,9,GridFillRecipe,CrystalCarrot,MiracleSyrup
MiracleCrystal,9,GridFillRecipe,FlashBud,MiracleSyrup
AetherCake,9,GridFillRecipe,AetherCarrot,Flour
CrystalCake,9,GridFillRecipe,CrystalCarrot,Flour
CrystalCake,9,GridFillRecipe,FlashBud,Flour
AetherPudding,9,GridFillRecipe,AetherCarrot,CoconutCream
CrystalPudding,9,GridFillRecipe,CoconutCream,CrystalCarrot
CrystalPudding,9,GridFillRecipe,CoconutCream,FlashBud
CrystalMeringue,9,GoodRecipe,CrystalCarrot,Meringue
CrystalMeringue,9,GoodRecipe,FlashBud,Meringue
MiracleCaramel,9,GoodRecipe,MiracleSyrup,
StellarCaramel,9,GoodRecipe,StellarSyrup,
BoosterShake,9,WeirdRecipe,AetherCarrot,MiracleSyrup
DiluteShake,9,WeirdRecipe,CrystalCarrot,StellarSyrup
DiluteShake,9,WeirdRecipe,FlashBud,StellarSyrup
InversionStew,9,WeirdRecipe,AetherCarrot,CrystalCarrot
InversionStew,9,WeirdRecipe,AetherCarrot,FlashBud
ThickShake,9,WeirdRecipe,MiracleSyrup,StellarSyrup
MiracleApple,9,Recipe,GoldenApple,
MiracleApple,9,Recipe,GoldenApple,MiracleSyrup
Limeade,9,Recipe,EmeraldLime,
FlamingTea,9,Recipe,AzureRose,
FlamingTea,9,Recipe,AzureRose,MistWater
RubyJuice,9,Recipe,RubyFruit,
VoidCone,9,Recipe,VoidIcicle,
DiamondSoup,9,Recipe,DiamondMushroom,
